city,state_slug,region,ranking,GDP_per_capita,population
Campo Novo do Parecis (MT),MT,Centro-Oeste,83º,96181.92032643314,35360
Alhandra (PB),PB,Nordeste,84º,96064.51395093206,19588
Ipiranga do Norte (MT),MT,Centro-Oeste,85º,95783.76978040552,7667
Lagoa do Barro do Piauí (PI),PI,Nordeste,86º,95769.2439592357,4655
Tapira (MG),MG,Sudeste,87º,95435.0554472297,4773
Santa Bárbara do Sul (RS),RS,Sul,88º,95354.13257513884,7994
Porto dos Gaúchos (MT),MT,Centro-Oeste,89º,94500.45907792347,5410
Ilha Comprida (SP),SP,Sudeste,90º,93630.18809565563,11166
Carlos Barbosa (RS),RS,Sul,91º,92970.36626189214,29833
Luís Antônio (SP),SP,Sudeste,92º,92760.77835376683,14947
Antônio Carlos (SC),SC,Sul,93º,92691.1877616692,8513
São José dos Pinhais (PR),PR,Sul,94º,92666.2043437177,323340
Brasília (DF),DF,Centro-Oeste,95º,90742.750387876,3015268
Treze Tílias (SC),SC,Sul,96º,90720.44848230954,7840
Niterói (RJ),RJ,Sudeste,97º,90643.7956494055,513584
Rosana (SP),SP,Sudeste,98º,90579.55774686694,16643
Santana do Mundaú (AL),AL,Nordeste,99º,90473.00435071097,10740
Paraúna (GO),GO,Centro-Oeste,100º,90385.4511961414,10988
