city,state_slug,region,ranking,GDP,region_participation,region_participation_accumulated
Hortolândia (SP),SP,Sudeste,77º,14730641.601498384,0.19935553452088434,51.22083147163707
Embu das Artes (SP),SP,Sudeste,78º,14726180.5873582,0.1992951618716488,51.420126633508715
Aparecida de Goiânia (GO),GO,Centro-Oeste,79º,14370793.916900586,0.19448557505477393,51.61461220856349
Jaboatão dos Guararapes (PE),PE,Nordeste,80º,13870739.476847034,0.18771814272675658,51.80233035129025
Limeira (SP),SP,Sudeste,81º,13785897.08794943,0.18656993749264172,51.988900288782894
São Caetano do Sul (SP),SP,Sudeste,82º,13705940.672815036,0.18548785605255907,52.174388144835454
Petrópolis (RJ),RJ,Sudeste,83º,13643577.911592169,0.18464387641242455,52.35903202124788
Cotia (SP),SP,Sudeste,84º,13365734.113895454,0.1808837076226614,52.53991572887054
Jacareí (SP),SP,Sudeste,85º,13361647.833335858,0.18082840638954487,52.720744135260084
Vila Velha (ES),ES,Sudeste,86º,12859638.21107798,0.17403451381600846,52.894778649076095
Ipojuca (PE),PE,Nordeste,87º,12718762.304060359,0.1721279850642835,53.06690663414038
Cascavel (PR),PR,Sul,88º,12602357.526258709,0.17055263367585027,53.237459267816234
Gravataí (RS),RS,Sul,89º,12396458.365342997,0.1677661197959947,53.40522538761223
Jaguariúna (SP),SP,Sudeste,90º,12348795.526237871,0.1671210799515918,53.57234646756382
Itapevi (SP),SP,Sudeste,91º,12045014.64585247,0.16300989447679917,53.73535636204062
Suzano (SP),SP,Sudeste,92º,12040336.754995896,0.1629465867501318,53.89830294879075
Americana (SP),SP,Sudeste,93º,11950333.162026359,0.16172853292256345,54.06003148171332
Nova Lima (MG),MG,Sudeste,94º,11859912.930675639,0.1605048405648191,54.220536322278136
Ipatinga (MG),MG,Sudeste,95º,11831119.015457062,0.1601151612477441,54.38065148352588
São Carlos (SP),SP,Sudeste,96º,11801092.849055676,0.15970880539343071,54.54036028891931
Cabo Frio (RJ),RJ,Sudeste,97º,11523592.049658626,0.15595327853381694,54.696313567453124
Macapá (AP),AP,Norte,98º,11434726.098069131,0.15475062085202057,54.851064188305145
Marabá (PA),PA,Norte,99º,11417650.048768053,0.15451952399772095,55.005583712302865
Rondonópolis (MT),MT,Centro-Oeste,100º,11342557.912848787,0.15350327275086573,55.15908698505373
