city,state_slug,region,ranking,GDP,region_participation,region_participation_accumulated
São Paulo (SP),SP,Sudeste,1º,57359867.87916358,4.139103933829283,4.139103933829283
Rio de Janeiro (RJ),RJ,Sudeste,2º,35553137.05982168,2.5655242054303256,6.704628139259608
Manaus (AM),AM,Norte,3º,29839511.984232277,2.1532274393949122,8.85785557865452
Maricá (RJ),RJ,Sudeste,4º,25405741.114080455,1.8332853068745973,10.691140885529117
Niterói (RJ),RJ,Sudeste,5º,20370586.56824849,1.4699471619542508,12.161088047483368
Paulínia (SP),SP,Sudeste,6º,17369990.90337361,1.253423348711189,13.414511396194557
Parauapebas (PA),PA,Norte,7º,16463401.687815562,1.1880036201234485,14.602515016318005
Curitiba (PR),PR,Sul,8º,16305907.547225028,1.176638799370259,15.779153815688264
São José dos Campos (SP),SP,Sudeste,9º,16038579.135199348,1.157348307206455,16.93650212289472
Campos dos Goytacazes (RJ),RJ,Sudeste,10º,13606951.677467847,0.9818813971866038,17.918383520081324
Belo Horizonte (MG),MG,Sudeste,11º,13012076.015234003,0.938955004837192,18.857338524918518
Guarulhos (SP),SP,Sudeste,12º,12533703.657970555,0.9044355232031768,19.761774048121694
Betim (MG),MG,Sudeste,13º,11537467.506929861,0.8325468469516509,20.594320895073345
Duque de Caxias (RJ),RJ,Sudeste,14º,11142986.245516457,0.8040809700012739,21.398401865074618
São Bernardo do Campo (SP),SP,Sudeste,15º,10887505.233629314,0.7856453895088563,22.184047254583476
Camaçari (BA),BA,Nordeste,16º,10556076.467172775,0.7617293980370075,22.945776652620484
Ilhabela (SP),SP,Sudeste,17º,10364637.91665409,0.7479151392732367,23.69369179189372
São José dos Pinhais (PR),PR,Sul,18º,10195165.498991627,0.7356859627329423,24.42937775462666
Campinas (SP),SP,Sudeste,19º,9583517.275927091,0.6915492577541332,25.120927012380793
Brasília (DF),DF,Centro-Oeste,20º,9453608.03050121,0.6821749706669346,25.80310198304773
Jundiaí (SP),SP,Sudeste,21º,9060334.620024443,0.6537962525742774,26.456898235622006
Joinville (SC),SC,Sul,22º,8936125.10572573,0.6448332596619527,27.10173149528396
Sorocaba (SP),SP,Sudeste,23º,8877889.676632572,0.6406309749887119,27.742362470272674
Canaã dos Carajás (PA),PA,Norte,24º,8476389.01335201,0.611658576057798,28.354021046330473
Uberlândia (MG),MG,Sudeste,25º,8440582.476214021,0.6090747664326281,28.9630958127631
Araucária (PR),PR,Sul,26º,8292462.565979829,0.5983863927351795,29.56148220549828
Foz do Iguaçu (PR),PR,Sul,27º,8274951.6374894995,0.5971227992912055,30.158605004789486
Fortaleza (CE),CE,Nordeste,28º,7859880.541797483,0.567171154203443,30.72577615899293
Cubatão (SP),SP,Sudeste,29º,7708891.138713028,0.5562757171081211,31.28205187610105
Piracicaba (SP),SP,Sudeste,30º,7507609.3555446705,0.5417511679533806,31.82380304405443
Caxias do Sul (RS),RS,Sul,31º,7271689.934576886,0.524727157273098,32.34853020132753
Canoas (RS),RS,Sul,32º,7173564.720043876,0.5176464146476611,32.86617661597519
Goiânia (GO),GO,Centro-Oeste,33º,7086172.91274262,0.511340197657289,33.37751681363248
Salvador (BA),BA,Nordeste,34º,6733844.637229104,0.48591609183038165,33.863432905462865
Saquarema (RJ),RJ,Sudeste,35º,6589808.858814043,0.4755224302148096,34.338955335677674
Nova Lima (MG),MG,Sudeste,36º,6512182.4850354325,0.46992088960887907,34.808876225286554
Santo André (SP),SP,Sudeste,37º,6461594.737406487,0.4662704637457017,35.275146689032255
Contagem (MG),MG,Sudeste,38º,6425590.044238614,0.4636723551265988,35.73881904415885
Porto Alegre (RS),RS,Sul,39º,6234533.571128193,0.44988566717430395,36.18870471133316
Taubaté (SP),SP,Sudeste,40º,6119040.342709336,0.44155164386228746,36.63025635519545
São Luís (MA),MA,Nordeste,41º,6023972.183203183,0.43469149917327277,37.064947854368725
Serra (ES),ES,Sudeste,42º,5674330.594610246,0.4094612654177823,37.47440911978651
Goiana (PE),PE,Nordeste,43º,5476599.277208864,0.3951929188549652,37.869602038641474
Recife (PE),PE,Nordeste,44º,5471173.433457702,0.3948013884689105,38.26440342711039
Três Lagoas (MS),MS,Centro-Oeste,45º,5470218.69914396,0.3947324945767192,38.65913592168711
Marabá (PA),PA,Norte,46º,5399309.993273621,0.38961570274538243,39.04875162443249
Mauá (SP),SP,Sudeste,47º,5381992.769038421,0.3883660870540437,39.437117711486536
Indaiatuba (SP),SP,Sudeste,48º,4868376.640800468,0.3513034051568957,39.788421116643434
Barueri (SP),SP,Sudeste,49º,4734076.722753737,0.34161228591876885,40.130033402562205
Cabo Frio (RJ),RJ,Sudeste,50º,4707518.618809153,0.33969584579126283,40.46972924835347
Ipatinga (MG),MG,Sudeste,51º,4704938.29411965,0.3395096488478636,40.80923889720133
Ipojuca (PE),PE,Nordeste,52º,4657309.18689171,0.33607271929448235,41.14531161649582
Ponta Grossa (PR),PR,Sul,53º,4580515.413865636,0.3305312593891802,41.475842875885
Gravataí (RS),RS,Sul,54º,4533091.417785616,0.32710913071297343,41.80295200659798
São Francisco do Conde (BA),BA,Nordeste,55º,4499829.288878064,0.3247089262895808,42.12766093288756
Porto Velho (RO),RO,Norte,56º,4311751.773229523,0.311137200731815,42.43879813361937
Jacareí (SP),SP,Sudeste,57º,4238734.219576823,0.30586823386112477,42.7446663674805
Louveira (SP),SP,Sudeste,58º,4156226.727228332,0.29991447038891,43.04458083786941
Uberaba (MG),MG,Sudeste,59º,4137354.2880203994,0.2985526299549141,43.34313346782432
Anápolis (GO),GO,Centro-Oeste,60º,4094969.2744469205,0.2954941156503314,43.63862758347465
Diadema (SP),SP,Sudeste,61º,4092077.302950695,0.2952854301871472,43.9339130136618
Hortolândia (SP),SP,Sudeste,62º,4088063.181443596,0.29499577006875394,44.22890878373055
Tucuruí (PA),PA,Norte,63º,4080702.9118237216,0.2944646509768856,44.52337343470744
Suzano (SP),SP,Sudeste,64º,4079826.1584045966,0.2944013842076221,44.81777481891506
Itabira (MG),MG,Sudeste,65º,4050040.628680173,0.2922520521430283,45.11002687105809
Limeira (SP),SP,Sudeste,66º,4032422.9946584366,0.29098075879838964,45.40100762985648
Blumenau (SC),SC,Sul,67º,3996026.6556369914,0.2883543889061505,45.68936201876263
Sumaré (SP),SP,Sudeste,68º,3965968.9320734404,0.2861854152588273,45.97554743402146
Campo Grande (MS),MS,Centro-Oeste,69º,3959413.9951247144,0.2857124091952912,46.26125984321675
Triunfo (RS),RS,Sul,70º,3821517.7997209425,0.275761781588229,46.53702162480498
Presidente Kennedy (ES),ES,Sudeste,71º,3804766.481278341,0.27455300181543274,46.81157462662041
Macaé (RJ),RJ,Sudeste,72º,3796869.4782620254,0.2739831518931988,47.08555777851361
Ribeirão Preto (SP),SP,Sudeste,73º,3713054.91541355,0.26793506985212545,47.35349284836573
Vitória do Xingu (PA),PA,Norte,74º,3711545.9331905893,0.26782618127748137,47.62131902964322
Jaraguá do Sul (SC),SC,Sul,75º,3660026.2146127,0.2641085041328138,47.88542753377603
